"id_Filme"	"Titulo"	"director"	"cast"	"country"	"data_lancamento"	"Classificacao_indicativa"	"Duracao_min"	"Sinopse"	"listed_in"
"4820"	"Knock Knock"	"Eli Roth"	"Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns, Ignacia Allamand, Dan Baily, Megan Baily, Colleen Camp, Antonio Quercia"	"United States, Chile, Israel"	"2015"	"R"	"99 min"	"A devoted husband and father on his own for the weekend has his life turned inside out after giving shelter to two young women during a storm."	"Horror, Thrillers"
"4821"	"Know Your Enemy - Japan"	"Frank Capra, Joris Ivens"	"Walter Huston, Dana Andrews"	"United States"	"1945"	"TV-14"	"63 min"	"Though culturally insensitive by modern standards, this propaganda film examines the history of Japan from the 16th century through the 1930s."	"Filmes Classicos, Documentarios"
"4822"	"Knowing"	"Alex Proyas"	"Nicolas Cage, Chandler Canterbury, Rose Byrne, Lara Robinson, D.G. Maloney, Nadia Townsend, Alan Hopgood, Adrienne Pickering"	"United States, United Kingdom, Australia"	"2009"	"PG-13"	"121 min"	"An MIT astrophysics professor and his son unearth a string of numbers from a time capsule that seem to reveal a cataclysm that will wipe out humanity."	"Sci-Fi & Fantasia, Thrillers"
"4823"	"Koko: The Gorilla Who Talks"	"Jonathan Taylor"	"Demetri Goritsas"	"United Kingdom"	"2016"	"TV-G"	"56 min"	"Witness the incredible, decades-long friendship between Koko the gorilla and Penny Patterson, who taught Koko to communicate via sign language."	"Documentarios"
"4824"	"Kon-Tiki"	"Joachim Rønning, Espen Sandberg"	"Pål Sverre Hagen, Anders Baasmo Christiansen, Tobias Santelmann, Gustaf Skarsgård, Odd Magnus Williamson, Jakob Oftebro, Agnes Kittelsen, Peter Wight, Amund Hellum Noraker, Eilif Hellum Noraker"	"United Kingdom, Norway, Denmark, Germany, Sweden"	"2012"	"PG-13"	"96 min"	"With five loyal friends in tow, explorer Thor Heyerdahl sails a fragile balsa wood raft along an ancient path some 4,300 miles across the Pacific."	"Ação e Aventura, Dramas, Filmes Internacionais"
"4825"	"Koshish"	"Gulzar"	"Sanjeev Kumar, Jaya Bhaduri, Asrani, Seema, Om Shivpuri, Dina Pathak"	"India"	"1972"	"TV-14"	"115 min"	"A speech and hearing-impaired couple persists through unforgiving obstacles to be accepted by society and live a life of dignity."	"Filmes Internacionais, Romantic Movies"
"4826"	"Kraftidioten"	"Hans Petter Moland"	"Stellan Skarsgård, Pål Sverre Hagen, Bruno Ganz, Hildegun Riise, Peter Andersson, Birgitte Hjort Sørensen, Jakob Oftebro, Anders Baasmo Christiansen, Jon Øigarden, Gard B. Eidsvold, Kristofer Hivju, Birgitte Hjort Sorensen, Stellan Skarsgard"	"Norway, Denmark, Sweden"	"2014"	"TV-MA"	"117 min"	"When he sets out to avenge his son's murder, mild-mannered snowplow driver Nils sparks a war between a Norwegian mobster and his Serbian rival."	"Comedias, Filmes Internacionais, Thrillers"
"4827"	"Krish Trish and Baltiboy"		"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal"		"2009"	"TV-Y7"	"58 min"	"A team of minstrels, including a monkey, cat and donkey, narrate folktales from the Indian regions of Rajasthan, Kerala and Punjab."	"Filmes familiares e infantis"
"4828"	"Krish Trish and Baltiboy: Battle of Wits"	"Munjal Shroff, Tilak Shetty"	"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal, Deepak Chachra"		"2013"	"TV-Y7"	"62 min"	"An artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice."	"Filmes familiares e infantis"
"4829"	"Krish Trish and Baltiboy: Best Friends Forever"	"Munjal Shroff, Tilak Shetty"	"Damandeep Singh Baggan, Smita Malhotra, Deepak Chachra"		"2016"	"TV-Y"	"65 min"	"A cat, monkey and donkey team up to narrate folktales about friendship from Northeast India, and the Indian regions of Bihar and Rajasthan."	"Filmes familiares e infantis"
"4830"	"Krish Trish and Baltiboy: Comics of India"	"Tilak Shetty"	"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal"		"2012"	"TV-Y7"	"61 min"	"In three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister."	"Filmes familiares e infantis"
"4831"	"Krish Trish and Baltiboy: Face Your Fears"	"Tilak Shetty"	"Tarun Ratnani, Smita Malhotra, Deepak Chachra"	"India"	"2017"	"TV-Y7"	"65 min"	"In three tales about fear, a baby elephant gets captured by a circus, two boys enter a haunted house and a parrot faces his fear of flying."	"Filmes familiares e infantis"
"4832"	"Krish Trish and Baltiboy: Oversmartness Never Pays"	"Tilak Shetty"	"Rishi Gambhir, Smita Malhotra, Deepak Chachra"		"2017"	"TV-Y7"	"65 min"	"A cat, monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan, West Bengal and Maharashtra."	"Filmes familiares e infantis"
"4833"	"Krish Trish and Baltiboy: Part II"		"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal"		"2010"	"TV-Y7"	"58 min"	"Animal minstrels narrate stories about a monkey's friendship with a crocodile, two monkeys' foolishness and a villager's encounter with a demon."	"Filmes familiares e infantis"
"4834"	"Krish Trish and Baltiboy: The Greatest Trick"	"Munjal Shroff, Tilak Shetty"	"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal"		"2013"	"TV-Y7"	"60 min"	"The consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything."	"Filmes familiares e infantis"
"4835"	"Krisha"	"Trey Edward Shults"	"Krisha Fairchild, Alex Dobrenko, Robyn Fairchild, Chris Doubek, Victoria Fairchild, Bryan Casserly, Chase Joliet, Atheena Frizzell, Augustine Frizzell, Bill Wise, Olivia Grace Applegate, Trey Edward Shults"	"United States"	"2015"	"R"	"81 min"	"After 10 years away from her family, Krisha returns for Thanksgiving, but bitter grudges and troubling addictions threaten to ruin the event."	"Dramas, Filmes Independentes"
"4836"	"Kristy"	"Oliver Blackburn"	"Haley Bennett, Ashley Greene, Erica Ash, Lucas Till, Chris Coy, Al Vicente, Wayne Pére, Jon Arthur, Mike Seal"	"United States"	"2013"	"NR"	"85 min"	"Opting to stay on campus over the Thanksgiving holiday, coed Justine and a handful of friends find their break violently disrupted by a sadistic gang."	"Horror"
"4837"	"Krystal"	"William H. Macy"	"Rosario Dawson, Nick Robinson, Jacob Latimore, Grant Gustin, William H. Macy, Kathy Bates, Felicity Huffman, William Fichtner, T.I., Rick Fox, Amy Parrish"	"United States"	"2017"	"R"	"93 min"	"A kid with a heart condition falls for an ex-stripper with a lot of baggage and joins her Alcoholics Anonymous group to catch her attention."	"Comedias, Dramas"
"4838"	"Kuldip Patwal: I Didn't Do It!"	"Remy Kohli"	"Deepak Dobriyal, Gulshan Devaiah, Raima Sen, Parvin Dabas, Anurag Arora, Jameel Khan, Priyanka Setia"	"India"	"2017"	"TV-MA"	"126 min"	"Accused of killing a politician, a local grocer’s fight to prove his innocence reveals his lifelong struggles with injustice leading up to the incident."	"Dramas, Filmes Independentes, Filmes Internacionais"
"4839"	"Kung Fu Hustle"	"Stephen Chow"	"Stephen Chow, Yuen Wah, Yuen Qiu, Lam Chi-chung, Dong Zhihua, Chiu Chi-ling, Xing Yu, Danny Chan Kwok-kwan, Leung Siu-lung"	"Hong Kong, China, United States"	"2004"	"R"	"99 min"	"Sing, a mobster in 1940s China, longs to be as cool as the formally clad Axe Gang, a band of killers who rule Hong Kong, but can only pretend."	"Ação e Aventura, Comedias, Cult"
"4840"	"Kung Fu Magoo"	"Andrés Couturier"	"Dylan Sprouse, Cole Sprouse, Alyson Stoner, Tom Kenny, Chris Parnell, Rodger Bumpass, Maile Flanagan, Wally Wingert, Candi Milo, Jim Ward"	"Mexico, United States"	"2010"	"TV-Y7"	"79 min"	"Shortsighted curmudgeon Mr. Magoo and his young nephew, Justin, fight such nefarious foes as kung fu villains, robot spiders and teenage mutants."	"Filmes familiares e infantis, Comedias"
"4841"	"Kung Fu Panda: Holiday"	"Tim Johnson"	"Jack Black, Angelina Jolie, Dustin Hoffman, Jackie Chan, Seth Rogen, Lucy Liu, David Cross, James Hong, Dan Fogler"	"United States"	"2010"	"TV-PG"	"26 min"	"As preparations for the Winter Feast build, Po is caught between his obligations as the Dragon Warrior and his family holiday traditions."	"Filmes familiares e infantis, Comedias"
"4842"	"Kung Fu Yoga"	"Stanley Tong"	"Jackie Chan, Disha Patani, Amyra Dastur, Sonu Sood, Aarif Rahman, Miya Muqi, Zhang Yixing, Eric Tsang"	"China, India, Nepal"	"2017"	"TV-PG"	"107 min"	"Two mismatched archaeologists battle a team of vicious mercenaries in a race to discover an ancient Tibetan treasure of unimaginable worth."	"Ação e Aventura, Comedias, Filmes Internacionais"
"4843"	"Kuppivala"	"Suresh Pillai"	"Nandu, Kochu Preman, Jayakrishnan, Mohan Ayroor, M.R. Gopakumar, Shanawas, Adoor Ajayan, Dinesh Panicker"		"2017"	"TV-14"	"133 min"	"A young woman talented at traditional dance finds her life changed when her love for a man clashes with the wishes of her father."	"Dramas, Filmes Internacionais, Romantic Movies"
"4844"	"Kurt & Courtney"	"Nick Broomfield"	"Kurt Cobain, Courtney Love"	"United Kingdom"	"1998"	"R"	"95 min"	"This film charts Nirvana's Kurt Cobain's rise to fame, his drug-addled romance with Courtney Love and the conspiracy theories surrounding his death."	"Documentarios, Musicais"
"4845"	"Kurtulus Son Durak"	"Yusuf Pirhasan"	"Belçim Bilgin, Demet Akbağ, Asuman Dabak, Ayten Soykök, Damla Sönmez, Mete Horozoğlu, Ahmet Mümtaz Taylan, Yavuz Bingöl, Hüseyin Soysalan, Tolga Karaçelik, Nihal Yalçın"	"Turkey"	"2012"	"TV-MA"	"100 min"	"When a recently single psychologist moves to a new neighborhood, she finds friendship with women starting to rebel against years of domestic abuse."	"Comedias, Dramas, Filmes Internacionais"
"4846"	"Kya Kehna"	"Kundan Shah"	"Preity Zinta, Saif Ali Khan, Anupam Kher, Farida Jalal, Chandrachur Singh"	"India"	"2000"	"TV-PG"	"149 min"	"A young university student's world is shaken after her brief involvement with a wealthy playboy results in her pregnancy."	"Dramas, Filmes Internacionais, Romantic Movies"
"4847"	"Kygo: Live at the Hollywood Bowl"	"Devin Chanda"	"Kygo"	"United States"	"2017"	"TV-MA"	"52 min"	"Join Norwegian electronic music superstar Kygo onstage and behind the scenes as he performs at the famed L.A. venue with a bevy of special guests."	"Musicais"
"4848"	"Kyun! Ho Gaya Na"	"Samir Karnik"	"Aishwarya Rai Bachchan, Vivek Oberoi, Amitabh Bachchan, Om Puri, Rati Agnihotri, Sunil Shetty, Tinnu Anand, Rahul Singh"	"India"	"2004"	"TV-PG"	"165 min"	"Cinematic lovebirds Aishwarya Rai and Vivek Oberoi star in this love story about a sweet young girl, Diya, brought up by her widowed father on a coffee plantation in the village of Coorg."	"Filmes Internacionais, Romantic Movies"
"4849"	"La Última Fiesta"	"Leandro Mark, Nicolás Silbert"	"Nicolás Vázquez, Alan Sabbagh, Benjamín Amadeo, Eva De Dominici, César Bordón, Julian Kartun, Paula Carruega, Luciano Rossi, Ezequiel Campa"	"Argentina"	"2016"	"TV-MA"	"104 min"	"Three best buddies are thrown into a wild chase for a priceless painting that was stolen from a house they used to throw a huge party."	"Comedias, Filmes Internacionais"
"4850"	"LA 92"	"Daniel Lindsay, T.J. Martin"		"United States"	"2017"	"R"	"114 min"	"Previously unseen footage is shaped into a fresh and timely retelling of the 1992 Rodney King trial – and the verdict that sparked civil unrest."	"Documentarios"
"4851"	"La Bamba"	"Luis Valdez"	"Lou Diamond Phillips, Esai Morales, Rosanna DeSoto, Elizabeth Peña, Danielle von Zerneck, Joe Pantoliano, Rick Dees, Marshall Crenshaw, Howard Huntsberry, Brian Setzer"	"United States"	"1987"	"PG-13"	"109 min"	"The plane crash that killed Buddy Holly also took Ritchie Valens, whose modest upbringing and rise to fame are depicted in this exhilarating biopic."	"Filmes Classicos, Dramas, Musicais"
"4852"	"La Coppia dei Campioni"	"Giulio Base"	"Massimo Boldi, Massimiliano Tortora, Anna Maria Barbera, Massimo Ceccherini, Pia Lanciotti, Flora Canto"	"Italy"	"2016"	"TV-MA"	"88 min"	"After winning a shared trip to a soccer match, two colleagues who hold opposite world views find they're stuck traveling together for the duration."	"Comedias, Filmes Internacionais"
"4853"	"Laal Rang"	"Syed Ahmad Afzal"	"Randeep Hooda, Piaa Bajpai, Jaihind Kumar, Akshay Oberoi, Rajneesh Duggal, Ashutosh Kaushik, Meenakshi Dixit, Shreya Narayan, Rajendra Sethi"	"India"	"2016"	"TV-14"	"143 min"	"Eager for cash, Rajesh joins his friend Shankar's blood-theft operation. As Rajesh's greed grows and the cops close in, Shankar is poised to explode."	"Dramas, Filmes Internacionais, Thrillers"
"4854"	"Laddaland"	"Sopon Sukdapisit"	"Saharat Sangkapreecha, Pok Piyatida Woramusik, Sutatta Udomsilp, Athipich Chutiwatkajornchai, Deuntem Salitul, Sahajak Boonthanakit"	"Thailand"	"2011"	"TV-MA"	"112 min"	"When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity."	"Horror, Filmes Internacionais"
"4855"	"Lady Bloodfight"	"Chris Nahon"	"Amy Johnston, Muriel Hofmann, Jenny Wu, Kathy Wu, Jet Tranter, Mayling Ng"	"Hong Kong"	"2016"	"R"	"101 min"	"An American travels to Hong Kong in hopes of winning a lucrative – but potentially deadly – all-female underground fighting tournament."	"Ação e Aventura"
"4856"	"Lady in the Water"	"M. Night Shyamalan"	"Paul Giamatti, Bryce Dallas Howard, Jeffrey Wright, Bob Balaban, Sarita Choudhury, Cindy Cheung, M. Night Shyamalan, Freddy Rodríguez, Bill Irwin, Mary Beth Hurt"	"United States"	"2006"	"PG-13"	"110 min"	"When an apartment building manager discovers a water nymph in the complex's swimming pool, he tries to help her return to her mythical home."	"Sci-Fi & Fantasia, Thrillers"
"4857"	"Lady-Like"		"Allie Gallerani, Beverly D'Angelo, Olivia Luccardi, Stephanie Simbari, Nick Clark, Brian Wiles"	"United States"	"2018"	"NC-17"	"83 min"	"After she pushes her best friend Kort to date a handsome transfer student, college student Allie is left to tackle adulthood on her own."	"Comedias, Filmes Independentes"
"4858"	"Lalbaug Parel: Zali Mumbai Sonyachi"	"Mahesh Manjrekar"	"Sachin Khedekar, Seema Biswas, Ankush Chaudhari, Satish Kaushik, Siddarth Jadhav, Shashank Shende, Sameer Dharmadhikari, Karan Patel, Veena Jamkar, Kashmira Shah"	"India"	"2010"	"TV-MA"	"145 min"	"Industrial workers struggle against the greed of their employers and the apathy of the government toward the conditions in which they live and work."	"Dramas, Filmes Internacionais"
"4859"	"Larceny"	"R. Ellis Frazier"	"Dolph Lundgren, Corbin Bernsen, Louis Mandylor, Isaac C. Singleton Jr., Jocelyn Osorio, Eddie J. Fernandez, David Fernandez Jr., Mauricio Mendoza, Steven Dell, Luis Gatica"	"United States, Mexico"	"2017"	"TV-14"	"87 min"	"An ex-CIA contractor turned thief is forced to head a CIA gambit to infiltrate a black ops Mexican prison and steal $50 million in drug cartel money."	"Ação e Aventura"
"4860"	"Last Ferry"	"Jaki Bradley"	"Ramón O. Torres, Sheldon Best, Myles Clohessy, Larry Owens, Gabriel Sloyer"	"United States"	"2019"	"TV-MA"	"86 min"	"Seeking romance and friendship, a young gay lawyer travels to Fire Island in the off-season and is soon on the run after witnessing a murder."	"Dramas, Filmes Independentes, Filmes LGBTQ"
"4861"	"Last Knights"	"Kazuaki Kiriya"	"Clive Owen, Morgan Freeman, Cliff Curtis, Aksel Hennie, Peyman Moaadi, Ayelet Zurer, Shohreh Aghdashloo, Tsuyoshi Ihara, Ahn Sung-kee"	"United Kingdom, South Korea"	"2015"	"R"	"115 min"	"A nobleman who values his people's well-being over his emperor's edicts is killed. His knights vow revenge."	"Ação e Aventura"
"4862"	"Last Night"	"Massy Tadjedin"	"Keira Knightley, Sam Worthington, Guillaume Canet, Eva Mendes, Griffin Dunne, Anson Mount, Stephanie Romanov, Scott Adsit, Daniel Eric Gold"	"United States, France"	"2010"	"R"	"93 min"	"During an evening apart, married couple Joanna and Michael encounter tempting opportunities to cheat on each other with sexy acquaintances."	"Dramas, Filmes Independentes, Romantic Movies"
"4863"	"Le K Benzema"	"Damien Piscarel, Florent Bodin"	"Karim Benzema"	"France"	"2017"	"TV-14"	"121 min"	"After a blackmailing scandal and being sidelined from the French national team, Real Madrid forward Karim Benzema tells his side of the story."	"Documentarios, Filmes Internacionais, Sports Movies"
"4864"	"Le serment des Hitler"	"Emmanuel Amara"		"France"	"2014"	"TV-PG"	"54 min"	"This documentary retraces the footsteps of Adolf Hitler's mysterious nephew and explores what became of the Hitler family line."	"Documentarios, Filmes Internacionais"
"4865"	"Leap Year"	"Anand Tucker"	"Amy Adams, Matthew Goode, Adam Scott, John Lithgow, Noel O'Donovan, Tony Rohr, Pat Laffan, Alan Devlin, Ian McElhinney, Dominique McElligott"	"United States, Ireland"	"2010"	"PG"	"100 min"	"Anna chooses February 29 to propose marriage to her boyfriend, but after meeting a charming innkeeper, she must evaluate her original plans."	"Comedias, Romantic Movies"
"4866"	"LeapFrog: Letter Factory"	"Roy Allen Smith"	"Joey Camen, Marie Danielle, Mark Cacciatore, Dave Fennoy, Debi Derryberry"	"United States"	"2003"	"TV-Y"	"37 min"	"In this entertaining installment of the wildly popular early-learning series, Professor Quigley, Leap, Lily and Tad arrive at the magical Letter Factory, where jumbles of sounds are miraculously shaped into letters."	"Filmes familiares e infantis"
"4867"	"LeapFrog: Sing-along, Read-along"	"Ron Myrick"	"Julie Maddalena, Cindy Robinson"		"2011"	"TV-Y"	"32 min"	"Using rhythm and rhymes, a funky band and a colorful cast of characters help make reading, sounding out vowels and building words easy and fun!"	"Filmes familiares e infantis"
"4868"	"Lechmi"	"B.N. Shajeer Sha"	"Parvathy Ratheesh, Biju Sopanam, Sethulekshmi Amma, Molly Angamaly"	"India"	"2017"	"TV-MA"	"147 min"	"The spirit of a murdered woman contacts four bachelors, enlisting their help to find her killer."	"Comedias, Horror, Filmes Internacionais"
"4869"	"Left Behind"	"Vic Armstrong"	"Nicolas Cage, Chad Michael Murray, Cassi Thomson, Nicky Whelan, Jordin Sparks, Lea Thompson, Gary Grubbs, Quinton Aaron"	"United States, Canada"	"2014"	"PG-13"	"110 min"	"After millions of people on Earth suddenly disappear, a pilot flying a plane stuck at 30,000 feet must find a way to ensure the passengers' survival."	"Ação e Aventura, Espiritualidade, Sci-Fi & Fantasia"
"4870"	"Legend of the Guardians: The Owls of Ga'Hoole"	"Zack Snyder"	"Helen Mirren, Geoffrey Rush, Jim Sturgess, Hugo Weaving, Emily Barclay, Abbie Cornish, Ryan Kwanten, Anthony LaPaglia, Miriam Margolyes, Sam Neill"	"United States, Australia"	"2010"	"PG"	"97 min"	"Soren, a barn owl kidnapped from his peaceful forest home, is brought to an orphanage where he must train to become a soldier."	"Filmes familiares e infantis"
"4871"	"Legend of the Naga Pearls"	"Yang Lei"	"Darren Wang, Zhang Tianai, Sheng Guansen, Simon Yam, Wang Xun, Zhao Jian, Xing Yu, Hu Bing, He Sui, Luxia Jiang"	"China"	"2017"	"TV-MA"	"108 min"	"A petty thief teams up with two bickering accomplices to safeguard a powerful relic and save humankind from a tribe of vengeful, winged humanoids."	"Ação e Aventura, Filmes Internacionais, Sci-Fi & Fantasia"
"4872"	"Legendary Weapons of China"	"Chia-Liang Liu"	"Gordon Liu, Chia Yung Liu, Hou Hsiao, Chia-Liang Liu, Tiet Wo Chu, Sheng Fu, Kara Hui"	"Hong Kong"	"1982"	"TV-14"	"101 min"	"Three assassins – magician Lei Ying, hit man Tieh Hon and kung fu master Ti Tan – are sent to Yunnan by their clan leader to bring to justice another clan member who betrayed the tribe."	"Ação e Aventura, Cult, Filmes Internacionais"
"4873"	"Legion"	"Scott Stewart"	"Paul Bettany, Lucas Black, Tyrese Gibson, Adrianne Palicki, Charles S. Dutton, Jon Tenney, Kevin Durand, Willa Holland, Kate Walsh, Dennis Quaid, Jeanette Miller, Cameron Harlow, Doug Jones, Josh Stamberg, Yancey Arias"	"United States"	"2010"	"R"	"100 min"	"A motley crew of apocalypse survivors living at an abandoned truck stop never suspects that the pregnant woman among them is carrying the Messiah."	"Ação e Aventura, Horror, Sci-Fi & Fantasia"
"4874"	"LEGO House - Home of the Brick"	"Anders Falck, Stinus Morell Vithner"	"Bjarke Ingels"		"2018"	"TV-G"	"48 min"	"In Billund, Denmark, a nearly 130,000-square-foot house is constructed with 25 million Lego bricks, capturing the awe of kids of all ages."	"Documentarios, Filmes Internacionais"
"4875"	"LEGO Ninjago: Masters of Spinjitzu: Day of the Departed"			"Denmark, China"	"2016"	"TV-Y7-FV"	"44 min"	"Cole finds himself trapped in Yang's temple after accidentally releasing a host of villainous spirits that the Ninja must defeat."	"Ação e Aventura, Filmes familiares e infantis"
"4876"	"Leo the Lion"	"Mario Cambi"	"Daniel Amerman, John Cygan, Matthew Mercer, Amanda Allan, Porter Hansen, Debi Derryberry, Mari Devon, Eileen Galindo, Cole Sand"	"United States, Italy"	"2013"	"TV-Y7-FV"	"78 min"	"Eschewing the carnivorous ways of his fellow lions, maverick Leo follows a vegetarian diet – causing the other lions to shun him."	"Filmes familiares e infantis, Comedias"
"4877"	"Les Bleus - Une autre histoire de France, 1996-2016"	"Pascal Blanchard, Sonia Dauger, David Dietz"		"France"	"2016"	"TV-MA"	"103 min"	"This documentary charts 20 years of the French national soccer team, Les Bleus, whose ups and downs have mirrored those of French society."	"Documentarios, Filmes Internacionais, Sports Movies"
"4878"	"Let There Be Light"	"John Huston"	"Walter Huston"	"United States"	"1946"	"TV-PG"	"58 min"	"Some returning combat veterans suffer scars that are more psychological than physical. This film follows patients and staff during their treatment."	"Filmes Classicos, Documentarios"
"4879"	"Lez Bomb"	"Jenna Laurenzo"	"Jenna Laurenzo, Deirdre O'Connell, Brandon Michael Hall, Kevin Pollak, Elaine Hendrix, Steve Guttenberg, Cloris Leachman, Bruce Dern"	"United States"	"2018"	"TV-14"	"90 min"	"A young woman's attempt to come out of the closet on Thanksgiving gets complicated when her male roommate shows up to her parents' home unannounced."	"Comedias, Filmes LGBTQ"
"4880"	"Life After Beth"	"Jeff Baena"	"Aubrey Plaza, Dane DeHaan, John C. Reilly, Molly Shannon, Cheryl Hines, Paul Reiser, Matthew Gray Gubler, Anna Kendrick, Paul Weitz"	"United States"	"2014"	"R"	"89 min"	"Following the death of his beloved girlfriend, Beth, Zach is first shattered and then overjoyed when she inexplicably comes back to life."	"Comedias, Horror, Filmes Independentes"
"4881"	"Life in the Doghouse"	"Ron Davis"		"United States"	"2018"	"TV-PG"	"83 min"	"A couple operates a bustling dog rescue out of their own home, vowing to give a safe space to the neediest pups on the planet – 10,000 and counting."	"Documentarios, Filmes LGBTQ"
"4882"	"Lifechanger"	"Justin McConnell"	"Lora Burke, Jack Foley, Bill Oberst Jr., Elitsa Bako, Sam James White, Rachel Vanduzer, Steve Kasan"	"Canada"	"2018"	"TV-MA"	"84 min"	"A shapeshifter has to kill, then inhabit his victims, or die. But as his need for new bodies speeds up, he finally faces down his own mortality."	"Horror, Filmes Independentes, Thrillers"
"4883"	"Lifeline"	"Johnnie To"	"Lau Ching Wan, Alex Fong, Carman Lee, Ruby Wong, Raymond Wong Ho-Yin, Damian Lau, Lam Suet, Kenneth Chan"	"Hong Kong"	"1997"	"TV-14"	"104 min"	"Johnnie To's character-centered drama follows a Hong Kong firefighting crew as they take on harrowing rescue missions and navigate personal dilemmas."	"Ação e Aventura, Filmes Internacionais"
"4884"	"Like Arrows"	"Kevin Peeples"	"Micah Lynn Hanson, Alan Powell, Elizabeth Becka, Garry Nation, Joseph Callender, Anisa Nyell Johnson, Aowyn Grace Peoples, John Jackson Hunter, Alex Kendrick"	"United States"	"2018"	"TV-PG"	"99 min"	"Over 50 years of their lives, a couple enjoys the blessings and setbacks of parenting, and learns that God has to be at the center of their family."	"Dramas, Espiritualidade"
"4885"	"Like Water for Chocolate"	"Alfonso Arau"	"Marco Leonardi, Lumi Cavazos, Regina Torné, Mario Iván Martínez, Ada Carrasco, Yareli Arizmendi, Claudette Maillé, Pilar Aranda"	"Mexico"	"1992"	"R"	"105 min"	"When Pedro marries her sister, Tita throws herself into her cooking – and discovers she can transfer her emotions through the food she prepares."	"Filmes Classicos, Dramas, Filmes Internacionais"
"4886"	"Lila & Eve"	"Charles Stone III"	"Viola Davis, Jennifer Lopez, Andre Royo, Shea Whigham, Aml Ameen, Chris Chalk, Will Brittain, Michole Briana White, Julius Tennon, Gino Vento, Yolonda Ross"	"United States"	"2015"	"R"	"94 min"	"After each of them loses a child to murder, two women who meet in a support group initiate their own investigation when the police are no help."	"Dramas, Thrillers"
"4887"	"Lincoln"	"Steven Spielberg"	"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt, James Spader, Hal Holbrook, Tommy Lee Jones, Jackie Earle Haley, John Hawkes, Jared Harris, Joseph Cross, Tim Blake Nelson, David Oyelowo, Bruce McGill"	"United States, India"	"2012"	"PG-13"	"150 min"	"Director Steven Spielberg takes on the towering legacy of Abraham Lincoln, focusing on his stewardship of the Union during the Civil War years."	"Dramas"
"4888"	"Lion's Heart"	"Karim El Sobky"	"Mohamed Ramadan, Hassan Hosny, Horeya Farghaly, Sayed Rajab, Aida Reyad, Omar Mustafa Metwally, Riham Ayman, Mohsen Mansour, Afaf Rashad, Maher Essam, Sabry Fawwaz, Hamdy Heykal, Sabry Abdel Moniem"	"Egypt"	"2013"	"TV-14"	"111 min"	"Kidnapped as a child and raised in the circus, a young lion tamer’s tough side emerges when he gets entangled in an underworld murder mystery."	"Ação e Aventura, Filmes Internacionais"
"4889"	"Listen Up! The Lives of Quincy Jones"	"Ellen Weissbrod"	"Quincy Jones, Miles Davis, Ray Charles, Sheila E., Ella Fitzgerald, Flavor Flav, Aretha Franklin, Dizzy Gillespie, Lesley Gore, Herbie Hancock, Ice-T, Jesse Jackson, Michael Jackson, Frank Sinatra, Oprah Winfrey"		"1990"	"TV-14"	"116 min"	"Steering clear of convention, this affecting documentary pays tribute to the life and work of composer, musician and producer Quincy Jones, one of the best-known and most respected men in the music industry."	"Documentarios, Musicais"
"4890"	"Little Dragon Maiden"	"Hua Shan"	"Leslie Cheung, Jing-Jing Yung, Chen Kuan-tai, Leanne Liu, Tanny Tien Ni"	"Hong Kong"	"1983"	"TV-14"	"92 min"	"Seeking to improve his combat skills, a young man falls in love with a woman with mystical powers, but his past stands in the way of their union."	"Ação e Aventura, Filmes Internacionais, Romantic Movies"
"4891"	"Little Lunch: The Halloween Horror Story"	"Tim Bartley"	"Flynn Curry, Olivia Deeble, Madison Lu, Oisín O'Leary, Faith Seci, Joshua Sitch, Heidi Arena, Wayne Hope"	"Australia"	"2016"	"TV-Y7"	"23 min"	"When the class puts on a Halloween play about a boy who leaves behind his friends for a scary new place, it hits too close to home for one student."	"Filmes familiares e infantis, Comedias"
"4892"	"Little Lunch: The Nightmare Before Graduation"	"Robyn Butler"	"Flynn Curry, Olivia Deeble, Madison Lu, Oisín O'Leary, Faith Seci, Joshua Sitch, Heidi Arena, Wayne Hope"	"Australia"	"2016"	"TV-Y7"	"25 min"	"Mrs. Gonsha's students are excited about the end of primary school – until they discover that a classmate might not move on with them."	"Filmes familiares e infantis, Comedias"
"4893"	"Little Men"	"Ira Sachs"	"Greg Kinnear, Jennifer Ehle, Paulina García, Alfred Molina, Michael Barbieri, Theo Taplitz, Talia Balsam, Maliq Johnson, Anthony A. Flamminio, Madison Wright, John Procaccino"	"United States, Greece, Brazil"	"2016"	"PG"	"85 min"	"Jake and Tony become friends when Jake's dad inherits a home above Tony's mother's shop. Friendship is tested when Jake's dad raises the shop's rent."	"Dramas, Filmes Independentes"
